HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109990,"TEJPATTA  GINGER, SAFFRON, TURMERIC CURCUMA, THYME, BAY LEAVES, CURRY AND OTHER SPICES",*****,*****,800,India,Yemen,
09109100,MASALA >> MASALA POWDER 100G BIRIYANI MASALA POWDER     PKD IN DX    MIX. OF TWO-MORE OF THE SPICE PRDCTS REFD IN NOTE 1     B     OF CHAP 9 ;  DX     MIX.  ;  REF D ,*****,*****,468,India,Yemen,
09109100,MASALA >> MASALA POWDER 100G CHICKEN MASALA POWDER     PKD IN DX     MIX. OF TWO-MORE OF THE SPICE PRDCTS REFDIN NOTE 1     B     OF CHAP 9 ;  M IX.  ;  REFD IN ,*****,*****,288,India,Yemen,
09109100,MASALA >> MASALA POWDER 100G FISH BIRIYANI MASALA POWDER     PKD INDX     MIX. OF TWO-MORE OF THE SPICE PRDCTS REFD IN NOTE 1     B     OF CHAP 9 ;  IN DX      ;  PRDCT S ,*****,*****,144,India,Yemen,
09109100,MASALA >> MASALA POWDER 100G GARAM MASALA POWDER     PKD IN DX     MIX. OF TWO-MORE OF THE SPICE PRDCTS REFD IN NOTE 1     B     OF CHAP 9 ;  MIX .  ;  I N ,*****,*****,216,India,Yemen,
09109100,SPICE >> TIKKA SPICE 50G CHICKEN TIKKA SPICE MIX     PKD IN DX    MIX. OF TWO-MORE OF THE SPICE PRDCTS REFD IN NOTE 1     B     OF CHAP 9 ;  DX     MIX.  ;  REF D ,*****,*****,72,India,Yemen,
09109100,MASALA >> MASALA POWDER 100G TANDOORI MASALA POWDER     PKD IN DX    MIX. OF TWO-MORE OF THE SPICE PRDCTS REFD IN NOTE 1     B     OF CHAP 9 ;  DX     MIX.  ;  REF D ,*****,*****,360,India,Yemen,
09109100,MASALA >> MASALA POWDER 100G MEAT MASALA POWDER     PKD IN DX     MIX.OF TWO-MORE OF THE SPICE PRDCTS REFD INNOTE 1     B     OF CHAP 9 ;  MIX. OF  ;  IN NOTE ,*****,*****,216,India,Yemen,
09109100,POWDER >> CURRY POWDER 165G CURRY POWDER     PKD IN DX     MIX. OF TWO-MORE OF THE SPICE PRDCTS REFD IN NOTE1     B     OF CHAP 9 ;  TW O-MORE  ;  NOTE 1 ,*****,*****,297,India,Yemen,
09109100,MASALA >> MASALA POWDER 100G CHICKEN FRY MASALA POWDER     PKD IN DX     MIX. OF TWO-MORE OF THE SPICE PRDCTSREFD IN NOTE 1     B     OF CHAP 9 ;  D X      ;  PRDCTS REFD ,*****,*****,360,India,Yemen,
09109912,FENUGREEK >> FENUGREEK SEEDS FENUGREEK SEEDS SORTEXED   SUPLY:SODANI SPICE AGRO INDUSTRIES  DOCUMENT  NO.46 & 47 DT.25.06.2021  GST:GST:08AKJPS7169R1ZW   ;  S PICE  ;  DT. 25.06.2021 ,*****,*****,46000,India,Yemen,
33021010,FLAVOUR >> FOOD FLAVOUR NANDI INTERNATIONAL BRAND FOOD FLAVOUR LIQUID FORM  SPICE BIRYANI [PACKing : 1 CTN. 12 Tray X 12 Bottles X 28ml] ;  LIQUID ; C rtn. ,*****,*****,960,India,Yemen,
09101120,GINGER >> GINGER UNBLEACHED 1550 JUTE BGSx10KG DRY GINGER UNBLEACHED  KARNATAKA SPICES TRADING CO DOCUMENT  NO.KST071&KST070 DT.22.4.21 GST:29AAIFK4443M1ZU ;  UNBLEACHED   KARNATAKA  ;  NO.KST0 71&KST070 ,*****,*****,15500,India,Yemen,
09101120,GINGER >> GINGER MAHARASHTRA 250 JUTE BGSX20KGS DRY GINGER MAHARASHTRA  KARNATKA SPICES TRADING CO DOCUMENT  NO.KST053&KST054 DT.19.4.21 GST:29AAIFK4443M1ZU ;  MAHARASHTR A  KARNATKA  ;  NO.KST0 53&KST054 ,*****,*****,5000,India,Yemen,
09101120,GINGER >> GINGER DELUXE 2000 JUTE BGSX10KGS DRY GINGER DELUXE   KARNATKA SPICES TRADING CO DOCUMENT  NO.KST053&KST054 DT.19.4.21 GST:29AAIFK4443M1ZU ;    K ARNATKA  ;  NO.KST053& KST054 ,*****,*****,20000,India,Yemen,
09109990,LEAVES >> BAY LEAVES- OTHER SPICES PACK IN P.P.,*****,*****,17,India,Yemen,
09101120,GINGER >> GINGER DELUXE 1800 JUTE BGSx10KGS DRY GINGER DELUXE  SUPLY:KARNATAKA SPICES TRADING CO DOCUMENT :392 & 393 DT.24.2.2021 GST:29AAIFK4443M1ZU ;  DELUXE  SU PLY:KARNATAKA ,*****,*****,18000,India,Yemen,
09101120,GINGER >> GINGER SUPLY 2500 JUTE BGSx10 KGS DRY GINGER   SUPLY:KARNATAKA SPICES TRADING CO DOCUMENT :355 & 35 6 DT.12.2.2021 GST:29AAIFK4443M1ZU ;    SUPLY:K ARNATAKA ,*****,*****,25000,India,Yemen,
09101120,GINGER >> GINGER DELUXE 1800 JUTE BGSx10 KGS DRY GINGER DELUXE  SUPLY:KARNATAKA SPICES TRADING CO DOCUMENT :32 4 & 325 DT.3.2.2021 GST:29AAIFK4443M1ZU ;  DELUXE  S UPLY:KARNATAKA ,*****,*****,18000,India,Yemen,
09101120,GINGER >> GINGER UNBLEACHED 2300J.BGSX10KG DRY GINGER UNBLEACHED  SUP.KARNATAKA SPICE TRD.CO DOCUMENT :262 264 265-2021 DT:06.01.2021 GST:29AAIFK4443M1ZU   ;  UNBLEACHED  SUP .KARNATAKA  ;  265- 2021 ,*****,*****,23000,India,Yemen,
33021010,FLAVOUR >> FOOD FLAVOUR IND.SYNTEHTIC FOOD FLAVOUR LIQUID FORM  ESSENCE  150 CTN-SPICE BIRYANI-We intend to claim benefits under the RoDTEP Scheme ;  FORM  E SSENCE  150  ;  t o ,*****,*****,604.80,India,Yemen,
33021010,FLAVOUR >> SPICE FLAVOUR MIXTURE OF ODORIFEROUS SUBSTANCES SPICEFLAVOUR FL00353-4000009694  SY. FLAV. COM FOR INDL. APPL   ;  SPICE FLAVOUR ,*****,*****,2000,India,Yemen,
09103020,"TURMERIC >> TURMERIC CURCUMA  GINGER, SAFFRON, TURMERIC CURCUMA, THYME, BAY LEAVES, CURRY AND OTHER SPICES",*****,*****,0.00,India,Yemen,
09024040,GREEN >> SPICED GREEN CARE ASHWAGANDHA SPICED GREEN TEA   TESTER   ;    TESTE R  ,*****,*****,5000,India,Yemen,
09024040,GREEN >> SPICED GREEN CARE ASHWAGANDHA SPICED GREEN TEA   1*10TB   ;    1*10T B  ,*****,*****,504,India,Yemen,
