HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
33073090,OLD SPICE AFTER SHAVING LOTION 50 ML,*****,*****,120,India,Zambia,
33071010,OLD SPICE AFTER SHAVING CREAM 70 GM,*****,*****,150,India,Zambia,
73239420,SPICE DISPERSOR KITCHEN UTENSIL (LUT NO. AD0806200057772 DT 29.06.2020),*****,*****,100,India,Zambia,
33071090,OLD SPICE ASL MEDIUM 50ML - 12NOS,*****,*****,12,India,Zambia,
33073090,OLD SPICE AFTER SHAVING LOTION 100 GM,*****,*****,48,India,Zambia,
09109100,SUHANA PANEER MAKHANWALA SPICE MIX 50GM,*****,*****,50,India,Zambia,
84798200,SUPP.NAME:LITHOTECH FOOD & SPICE MACHINE RY.INV. NO.14  DT. 21.09.2020. GST NO.27 AAIPB1813G1Z7,*****,*****,0.01,India,Zambia,
09109100,Spices (7CTN),*****,*****,1,India,Zambia,
98030000,UN ACOMBAINED BAGGAGE CLOTHES KITCHEN N SILS STATUE SPICES GLASS ITEMS SHOES ELE CTRONIC ITEM BAGS BOWLS DECORATIVE ITEMS,*****,*****,13,India,Zambia,
33072000,OLD SPICE AFTER SHAVING LOTION 70 GM,*****,*****,72,India,Zambia,
33071090,OLD SPICE ASL 50ML X 12NOSNOS,*****,*****,12,India,Zambia,
33071010,OLD SPICE SHAVING CREAM (SUP:M.J.TRADERS GSTIN:24APCPS6473E1ZT INV.130 DT:18.07. 2020),*****,*****,96,India,Zambia,
68022390,POLISHED GRANITE SLABS (RANDOM) SPICE BL ACK,*****,*****,59.32,India,Zambia,
25162000,POLISHED GRANITE SLABS (RANDOM) SPICE BL,*****,*****,59.32,India,Zambia,
68022390,POLISHED GRANITE SLABS (RANDOM) SPICE BL,*****,*****,59.32,India,Zambia,
84229090,SPARE PARTS OF FILTER MACHINE : SPICE OF,*****,*****,9,India,Zambia,
33051090,OLD SPICE AFTER SHAVING 50ML BTL X 12NOS,*****,*****,12,India,Zambia,
84603990,SPICE GRINDER,*****,*****,1,India,Zambia,
09109100,ASSORTED SPICES,*****,*****,289,India,Zambia,
09109100,ASSORTED SPICES,*****,*****,289,India,Zambia,
09109100,ASSORTED SPICES,*****,*****,289,India,Zambia,
33051090,OLD SPICE AFTER SHAVING 50ML X 24NOS,*****,*****,24,India,Zambia,
09109919,OTHER SPICES PACKED IN CONSUMER PACKS BULK BAGS,*****,*****,346.80,India,Zambia,
33012950,OTHER SPICES OIL,*****,*****,380,India,Zambia,
21069099,MIXTURE OF 2 OR MORE SPICES PACKED IN CO NSUMER PACKS BULK BAGS,*****,*****,1040,India,Zambia,
72189990,SPICE TRAY,*****,*****,1,India,Zambia,
33051090,OLD SPICES AFTER SHAVING LOTION 36NOS,*****,*****,36,India,Zambia,
33071090,OLD SPICE AFTER SHAVE LOTION MUSK 100 GR AM,*****,*****,4,India,Zambia,
33071010,OLD SPICE SHAVING CREAM ORIGINAL 70 GMS,*****,*****,96,India,Zambia,
33071090,OLD SPICE AFTER SHAVE LOTION ORIGINAL 10 0 GRAM,*****,*****,37,India,Zambia,
33071010,OLD SPICE SHAVING CREAM MUSK 70 GMS,*****,*****,46,India,Zambia,
39233090,MILTON AND OTHER PRODUCTS: CLASSY SPICE RACK CONTAINER 11NOS,*****,*****,11,India,Zambia,
09109100,MTR SPICE SAMBAR POWDER (100 GMX130 PCKT / 2 CS)(SUP R M  ENTERPRISE GSTN:24AAOF R2448B1ZD  INV:T78 DT:17.04.2019),*****,*****,260,India,Zambia,
09109929,ASST. SPICES WHOLE & GROUND & PKG,*****,*****,50,India,Zambia,
09109929,ASST. SPICES WHOLE & GROUND & PKG,*****,*****,50,India,Zambia,
09109929,ASST. SPICES WHOLE & GROUND,*****,*****,13,India,Zambia,
09109929,ASST. SPICES WHOLE & GROUND,*****,*****,13,India,Zambia,
73239490,DC 4970 SS SPICE RCK  30162311SD00153 (K ITCHEN NON BRASS) (KITCHEN ARTICLES STAI NLESS STEEL),*****,*****,20,India,Zambia,
09109100,CONDUCT SPICE AS PER INV & PL,*****,*****,53,India,Zambia,
39239090,JONY SPICE 12PCS PACK X 9NOS,*****,*****,9,India,Zambia,
09093129,SPICES RED CHILLI KASHMIRI 1 1X50 05X100,*****,*****,50,India,Zambia,
09093129,SPICES RED CHILLI KASHMIRI 1 1X50 05X100,*****,*****,100,India,Zambia,
84229090,SPICE AUGER SCREW,*****,*****,2,India,Zambia,
09023020,WAGH BAKRI PRODUCTS: SPICED TEA 250GM X,*****,*****,144,India,Zambia,
33071090,OLD SPICE AFTER SHAVING 50ML X 12NOS,*****,*****,12,India,Zambia,
39201099,SEBAS GG SPICE-4 VARIANTS (12PET+12 METP ET+25 NATURAL POLY) SEBAS GOLDEN GOODNES S SPICE RO(LAMINATED PRINTED FILM ROLLS),*****,*****,723.71,India,Zambia,
39201099,SEBAS GG SPICE-4 VARIANTS (12PET+12 METP ET+25 NATURAL POLY) SEBAS GOLDEN GOODNES S SPICE RO(LAMINATED PRINTED FILM ROLLS),*****,*****,1492.37,India,Zambia,
39201099,SEBAS GG SPICE-4 VARIANTS (12PET+12 METP ET+25 NATURAL POLY) SEBAS GOLDEN GOODNES S SPICE RO(LAMINATED PRINTED FILM ROLLS),*****,*****,2117.41,India,Zambia,
39201099,SEBAS GG SPICE-4 VARIANTS (12PET+12 METP ET+25 NATURAL POLY) SEBAS GOLDEN GOODNES S SPICE RO(LAMINATED PRINTED FILM ROLLS),*****,*****,490.17,India,Zambia,
73239390,SPICE BOX 12 SPICE COMPARTMENTS W/O COVE R,*****,*****,4,India,Zambia,
