year,France,Serbia,Croatia,Spain,Germany,Lithuania,Greece,Turkey,Italy,Russia,Slovenia,England,Georgia,Bosnia and Herzegovina,Ukraine,Latvia,Montenegro,Czech Republic,Israel,Macedonia,Netherlands,Poland,Finland,Ireland,Sweden,Switzerland,Austria,Belarus,Belgium,Denmark,Estonia,Hungary,Iceland,Luxembourg,Norway,Portugal,Romania,Slovakia
1980,0,0,0,0,0,0,0,0,0,0,0,14.4,0,0,0,0,0,0,0,0,34.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,20.9,0,0,0,0,0,0,0,0,27.4,0,0,0,0,0,0,0,0,0,0,0,12.4,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,21.8,0,0,0,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,12.5,0,0,0,0,0,0,0,0,0,0,30.8,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,11.8,0,0,0,0,0,0,32.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
1986,0,0,0,8.2,13.2,0,0,0,0,0,0,36.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,7,13.7,0,0,0,0,0,0,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7,0,0,0,0,0
1988,0,0,0,0,13.9,0,0,0,0,0,0,32.9,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1989,0,19.6,12.6,0,14.7,22.6,0,0,0,0,0,17.6,0,0,0,0,0,0,0,0,29.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0
1990,0,28.2,11,0,32.1,19.7,0,0,11,0,0,34.1,0,0,0,0,0,0,0,0,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,27.2,21.3,0,32.6,29.4,0,0,8.2,0,0,18.5,0,0,0,0,0,0,0,0,23.9,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,30.8,9.5,0,37.8,27.9,0,0,0,0,0,15.7,0,0,0,6.8,0,0,0,0,25.6,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,34,19.2,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,0,0,19.3,0,0,0,0,0,0,0,0,0,0,0,0,12,4.2
1994,0,35.1,14.4,0,32,18.1,0,0,7,7.4,0,14.3,0,0,0,0,0,0,0,0,16.8,0,0,25.2,0,0,0,0,0,0,0,0,0,0,0,0,23.6,0
1995,0,29.9,25.8,0,32.2,21.7,0,0,6.8,0,0,12.8,0,0,0,0,0,12.5,0,0,16.6,0,0,12.9,0,0,0,0,0,0,0,0,0,0,0,0,29.5,0
1996,0,33.5,21.6,0,33.6,10.1,0,0,0,0,0,0,0,0,15.5,0,0,7.2,0,0,29.2,0,0,21.8,0,0,0,0,0,0,8.3,0,0,0,0,0,25.3,0
