name,birth,death,start,end,dynasty,area,reign,
Maharana Hammir Singh,1 January 1314,1 January 1364,6 December 1326,7 June 1364,Sisodia,Mewar,38,Father of Kshetra Singh
Kshetra Singh,N/A,1 January 1382,1 January 1364,1 January 1382,Sisodia,Mewar,18,Father of Lakha Singh
Lakha Singh,N/A,1 January 1421,1 January 1382,1 January 1421,Sisodia,Mewar,39,Father of Mokal Singh
Mokal Singh,1 January 1409,1 January 1433,1 January 1421,1 January 1433,Sisodia,Mewar,12,Father of Rana Kumbha
Rana Kumbha,N/A,9 June 1468,15 April 1433,9 June 1468,Sisodia,Mewar,35,"Father of Udai Singh I, Rana Raimal"
Udai Singh I,N/A,1 January 1473,1 January 1468,1 January 1473,Sisodia,Mewar,5,
Rana Raimal,N/A,1 January 1509,1 January 1473,1 January 1509,Sisodia,Mewar,36,Father of Rana Sanga
Rana Sanga,12 April 1484,17 March 1527,4 June 1509,17 March 1527,Sisodia,Mewar,18,"Father of Ratan Singh II, Vikramaditya Singh, Udai Singh II"
Ratan Singh II,N/A,1 January 1531,1 January 1528,1 January 1531,Sisodia,Mewar,3,
Vikramaditya Singh,1 January 1517,1 January 1537,1 January 1531,1 January 1536,Sisodia,Mewar,5,
Udai Singh II,4 August 1540,28 February 1572,10 December 1540,28 February 1572,Sisodia,Mewar,32,Father of Maharana Pratap
Maharana Pratap ,9 May 1540,19 January 1597,28 February 1572,19 January 1597,Sisodia,Mewar,25,Father of Amar Singh I
Maharana Amar Singh I,6 March 1559,26 January 1620,19 January 1597,26 January 1620,Sisodia,Mewar,23,Father of Karan Singh II
Karan Singh II,7 January 1584,1 March 1628,26 January 1620,1 March 1628,Sisodia,Mewar,8,Father of Jagat Singh I
Jagat Singh I,1 January 1607,10 April 1652,1 March 1628,10 April 1652,Sisodia,Mewar,24,Father of Raj Singh I
Raj Singh I,24 September 1629,22 October 1680,15 September 1652,22 October 1680,Sisodia,Mewar,28,Father of Jai Singh I
Jai Singh I,5 December 1653,23 September 1698,1 January 1653,23 September 1698,Sisodia,Mewar,45,
Rao Jodha Rathore,28 March 1416,6 April 1489,10 July 1438,6 April 1489,Rathore,Marwar,51,"Father of Rao Satal, Rao Suja, Rao Bikaji"
Rao Satal Rathore,N/A,1 March 1492,6 April 1489,1 March 1492,Rathore,Marwar,3,
Rao Suja Rathore,N/A,October 1515,1 March 1492,2 October 1515,Rathore,Marwar,23,Grandfather of Rao Ganta Rathore
Rao Ganga Rathore,6 May 1484,21 May 1531,8 November 1515,1 May 1531,Rathore,Marwar,2,Father of Rao Maldeo Rathore
Rao Maldeo Rathore,5 December 1511,7 November 1562,9 May 1532,7 November 1562,Rathore,Marwar,16,Father of Rao Chandrasen Rathore
Rao Chandrasen Rathore,30 July 1541,11 January 1581,7 November 1562,11 January 1581,Rathore,Marwar,19,
